defer,false_pick_rate,actual_coverage,pick_recall,variant
0.000000,0.528223,0.498033,0.427492,V1_E_512D_endpoint
0.050000,0.519790,0.473490,0.412356,V1_E_512D_endpoint
0.100000,0.510462,0.448326,0.397221,V1_E_512D_endpoint
0.150000,0.501905,0.423944,0.383082,V1_E_512D_endpoint
0.200000,0.493071,0.399098,0.369124,V1_E_512D_endpoint
0.250000,0.484723,0.374324,0.354622,V1_E_512D_endpoint
0.300000,0.477407,0.349061,0.338580,V1_E_512D_endpoint
0.350000,0.468821,0.324700,0.324260,V1_E_512D_endpoint
0.400000,0.460255,0.299536,0.308943,V1_E_512D_endpoint
0.450000,0.451722,0.274173,0.294381,V1_E_512D_endpoint
0.500000,0.443515,0.249322,0.279335,V1_E_512D_endpoint
0.550000,0.434743,0.224956,0.264441,V1_E_512D_endpoint
0.600000,0.427381,0.200767,0.249063,V1_E_512D_endpoint
0.000000,0.631092,0.766703,0.513897,B5family_argmax_margin
0.050000,0.622316,0.738174,0.496375,B5family_argmax_margin
0.100000,0.612662,0.708341,0.477795,B5family_argmax_margin
0.150000,0.604264,0.678185,0.456495,B5family_argmax_margin
0.200000,0.595587,0.647553,0.434139,B5family_argmax_margin
0.250000,0.586135,0.616557,0.412477,B5family_argmax_margin
0.300000,0.577130,0.584137,0.388580,B5family_argmax_margin
0.350000,0.568959,0.551351,0.363142,B5family_argmax_margin
0.400000,0.563092,0.517595,0.335680,B5family_argmax_margin
0.450000,0.557711,0.481815,0.305861,B5family_argmax_margin
0.500000,0.554145,0.444648,0.275891,B5family_argmax_margin
0.550000,0.550289,0.405707,0.247069,B5family_argmax_margin
0.600000,0.543073,0.365143,0.221299,B5family_argmax_margin
0.200000,0.594842,0.651346,0.442356,B5_calibrated_argmax_margin
