defer,false_pick_rate,actual_coverage,pick_recall,variant
0.000000,0.191827,0.944132,0.900536,V0_H_axis_endpoint
0.050000,0.180973,0.900304,0.868286,V0_H_axis_endpoint
0.100000,0.168631,0.854654,0.833893,V0_H_axis_endpoint
0.150000,0.156111,0.810169,0.797536,V0_H_axis_endpoint
0.200000,0.145102,0.764570,0.759821,V0_H_axis_endpoint
0.250000,0.132818,0.718128,0.721000,V0_H_axis_endpoint
0.300000,0.123241,0.672968,0.680929,V0_H_axis_endpoint
0.350000,0.115735,0.626088,0.637429,V0_H_axis_endpoint
0.400000,0.110433,0.578735,0.593500,V0_H_axis_endpoint
0.450000,0.104232,0.532530,0.550321,V0_H_axis_endpoint
0.500000,0.098128,0.485228,0.507464,V0_H_axis_endpoint
0.550000,0.092665,0.437319,0.463000,V0_H_axis_endpoint
0.600000,0.089038,0.391012,0.420571,V0_H_axis_endpoint
0.000000,0.122262,0.924654,0.890214,V1_E_512D_endpoint
0.050000,0.112633,0.898162,0.874786,V1_E_512D_endpoint
0.100000,0.103986,0.867099,0.853357,V1_E_512D_endpoint
0.150000,0.095864,0.832563,0.825929,V1_E_512D_endpoint
0.200000,0.088711,0.790911,0.791357,V1_E_512D_endpoint
0.250000,0.079981,0.745700,0.753857,V1_E_512D_endpoint
0.300000,0.071648,0.699511,0.713107,V1_E_512D_endpoint
0.350000,0.064862,0.650202,0.667321,V1_E_512D_endpoint
0.400000,0.059783,0.600236,0.619536,V1_E_512D_endpoint
0.450000,0.054065,0.551433,0.573000,V1_E_512D_endpoint
0.500000,0.047912,0.500843,0.525893,V1_E_512D_endpoint
0.550000,0.040715,0.450253,0.477107,V1_E_512D_endpoint
0.600000,0.034152,0.401349,0.431286,V1_E_512D_endpoint
0.000000,0.070943,0.727622,0.771250,B5family_argmax_margin
0.050000,0.062517,0.698853,0.749250,B5family_argmax_margin
0.100000,0.055558,0.667757,0.722464,B5family_argmax_margin
0.150000,0.048351,0.636155,0.691679,B5family_argmax_margin
0.200000,0.042505,0.602816,0.658107,B5family_argmax_margin
0.250000,0.036917,0.569747,0.625179,B5family_argmax_margin
0.300000,0.032734,0.537403,0.589929,B5family_argmax_margin
0.350000,0.029443,0.502293,0.552143,B5family_argmax_margin
0.400000,0.026153,0.466442,0.512000,B5family_argmax_margin
0.450000,0.023123,0.431686,0.470750,B5family_argmax_margin
0.500000,0.020957,0.395548,0.428786,B5family_argmax_margin
0.550000,0.018001,0.359528,0.387714,B5family_argmax_margin
0.600000,0.015915,0.322884,0.344500,B5family_argmax_margin
